gene_symbol,pos
AARS,0
ABCF1,1
ABL1,2
ACAA1,3
ACAT2,4
ACLY,5
ADAM10,6
ADH5,7
PARP1,8
ADRB2,9
AGL,10
AKT1,11
ALAS1,12
ALDOA,13
ALDOC,14
SLC25A4,15
ANXA7,16
APBB2,17
BIRC2,18
BIRC5,19
APOE,20
APP,21
FAS,22
RHOA,23
ARHGAP1,24
ASAH1,25
ATF1,26
ATP1B1,27
ALDH7A1,28
ATP6V0B,29
BAD,30
BAX,31
CCND1,32
BCL2,33
BDH1,34
BID,35
BLMH,36
BLVRA,37
BMP4,38
BNIP3,39
BNIP3L,40
BPHL,41
BRCA1,42
BTK,43
BUB1B,44
C5,45
DDR1,46
CALM3,47
CALU,48
CAPN1,49
CAST,50
CASP2,51
CASP3,52
CASP7,53
CASP10,54
CAT,55
CBLB,56
CBR1,57
CBR3,58
CCNA2,59
CCNB1,60
CCND3,61
CCNF,62
CCNH,63
SCARB1,64
CD40,65
CD44,66
CD58,67
ADGRE5,68
CDK1,69
CDC20,70
CDC25A,71
CDC25B,72
CDC42,73
CDH3,74
CDK2,75
CDK4,76
CDK6,77
CDK7,78
CDKN1A,79
CDKN1B,80
CDKN2A,81
CEBPA,82
CEBPD,83
CENPE,84
CETN3,85
CHEK1,86
CHN1,87
CIRBP,88
CLTB,89
CLTC,90
COL1A1,91
COL4A1,92
CREB1,93
CRK,94
CRKL,95
CRYZ,96
CSK,97
CSNK1A1,98
CSNK1E,99
CSNK2A2,100
CSRP1,101
CTNND1,102
CTSD,103
CTSL,104
CYB561,105
DAG1,106
DAXX,107
DCK,108
DCTD,109
DDB2,110
GADD45A,111
DDX10,112
DECR1,113
DFFA,114
DFFB,115
DLD,116
DNM1,117
DNMT1,118
DNMT3A,119
DPH2,120
DSG2,121
TSC22D3,122
DUSP3,123
DUSP4,124
DUSP6,125
TOR1A,126
E2F2,127
ECH1,128
EDN1,129
EGF,130
EGFR,131
EGR1,132
EIF4EBP1,133
EIF4G1,134
EIF5,135
ELAVL1,136
CTTN,137
EPB41L2,138
EPHA3,139
EPHB2,140
EPRS,141
NR2F6,142
ERBB2,143
ERBB3,144
ETFB,145
ETS1,146
ETV1,147
EXT1,148
EZH2,149
FAH,150
PTK2B,151
FAT1,152
FDFT1,153
FGFR2,154
FGFR4,155
FHL2,156
FKBP4,157
FOXO3,158
FOS,159
FPGS,160
FUT1,161
FYN,162
SLC37A4,163
GAA,164
GABPB1,165
GALE,166
GAPDH,167
GATA2,168
GATA3,169
GFPT1,170
GHR,171
GLI2,172
GLRX,173
GNA11,174
GNA15,175
GNAI1,176
GNAI2,177
GNAS,178
SFN,179
GPC1,180
GPER1,181
GRB7,182
GRB10,183
GRN,184
NR3C1,185
CXCL2,186
GSTM2,187
GSTZ1,188
MSH6,189
GTF2A2,190
GTF2E2,191
HSD17B10,192
HADH,193
HDAC2,194
HIF1A,195
HK1,196
HLA-DMA,197
HLA-DRA,198
HMGCR,199
HMGCS1,200
HMOX1,201
HOXA5,202
HOXA10,203
HPRT1,204
HES1,205
DNAJB2,206
HSPA1A,207
HSPA4,208
HSPA8,209
HSPB1,210
HSPD1,211
DNAJB1,212
ICAM1,213
ICAM3,214
ID2,215
IDE,216
IFNAR1,217
IGF1R,218
IGF2R,219
IGFBP3,220
IGHMBP2,221
IKBKB,222
IL1B,223
IL4R,224
IL13RA1,225
ILK,226
INPP1,227
INSIG1,228
ITGAE,229
ITGB5,230
JUN,231
KCNK1,232
KIF5C,233
KIT,234
KTN1,235
LAMA3,236
STMN1,237
LBR,238
LGALS8,239
LIG1,240
LIPA,241
LOXL1,242
LRPAP1,243
LYN,244
SMAD3,245
MAN2B1,246
MAT2A,247
MBNL1,248
MCM3,249
ME2,250
MEF2C,251
MAP3K4,252
MEST,253
MIF,254
FOXO4,255
MMP1,256
MMP2,257
MNAT1,258
MSRA,259
MUC1,260
MYBL2,261
MYC,262
GADD45B,263
MYLK,264
MYO10,265
NCK1,266
NFATC3,267
NFATC4,268
